obsnme,obsval,weight,obgnme
pasture_cn_ad,77.04,0.0,parameter-processor-values
pasture_cn_bd,77.04,0.0,parameter-processor-values
pasture_cn_cd,77.04,0.0,parameter-processor-values
pasture_rz_a,2.5,0.0,parameter-processor-values
pasture_rz_b,3.125,0.0,parameter-processor-values
pasture_rz_c,2.5,0.0,parameter-processor-values
pasture_rz_d,1.665,0.0,parameter-processor-values
pasture_rz_ad,1.665,0.0,parameter-processor-values
pasture_rz_bd,1.665,0.0,parameter-processor-values
pasture_rz_cd,1.665,0.0,parameter-processor-values
pasture_max_net_infil_a,4.5,0.0,parameter-processor-values
pasture_max_net_infil_b,0.675,0.0,parameter-processor-values
pasture_max_net_infil_c,0.27,0.0,parameter-processor-values
pasture_max_net_infil_d,0.135,0.0,parameter-processor-values
pasture_max_net_infil_ad,0.135,0.0,parameter-processor-values
pasture_max_net_infil_bd,0.135,0.0,parameter-processor-values
pasture_max_net_infil_cd,0.135,0.0,parameter-processor-values
wdwetl_cn_a,55.0,0.0,parameter-processor-values
wdwetl_cn_b,72.01,0.0,parameter-processor-values
wdwetl_cn_c,81.505,0.0,parameter-processor-values
wdwetl_cn_d,85.24,0.0,parameter-processor-values
wdwetl_cn_ad,85.24,0.0,parameter-processor-values
wdwetl_cn_bd,85.24,0.0,parameter-processor-values
wdwetl_cn_cd,85.24,0.0,parameter-processor-values
wdwetl_rz_a,3.0,0.0,parameter-processor-values
wdwetl_rz_b,3.75,0.0,parameter-processor-values
wdwetl_rz_c,3.0,0.0,parameter-processor-values
wdwetl_rz_d,1.998,0.0,parameter-processor-values
wdwetl_rz_ad,1.998,0.0,parameter-processor-values
wdwetl_rz_bd,1.998,0.0,parameter-processor-values
wdwetl_rz_cd,1.998,0.0,parameter-processor-values
wdwetl_max_net_infil_a,3.0,0.0,parameter-processor-values
wdwetl_max_net_infil_b,0.45,0.0,parameter-processor-values
wdwetl_max_net_infil_c,0.18,0.0,parameter-processor-values
wdwetl_max_net_infil_d,0.09,0.0,parameter-processor-values
wdwetl_max_net_infil_ad,0.09,0.0,parameter-processor-values
wdwetl_max_net_infil_bd,0.09,0.0,parameter-processor-values
wdwetl_max_net_infil_cd,0.09,0.0,parameter-processor-values
hbwetl_cn_a,55.0,0.0,parameter-processor-values
hbwetl_cn_b,72.01,0.0,parameter-processor-values
hbwetl_cn_c,81.505,0.0,parameter-processor-values
hbwetl_cn_d,85.24,0.0,parameter-processor-values
hbwetl_cn_ad,85.24,0.0,parameter-processor-values
hbwetl_cn_bd,85.24,0.0,parameter-processor-values
hbwetl_cn_cd,85.24,0.0,parameter-processor-values
hbwetl_rz_a,2.0,0.0,parameter-processor-values
hbwetl_rz_b,2.5,0.0,parameter-processor-values
hbwetl_rz_c,2.0,0.0,parameter-processor-values
hbwetl_rz_d,1.332,0.0,parameter-processor-values
hbwetl_rz_ad,1.332,0.0,parameter-processor-values
hbwetl_rz_bd,1.332,0.0,parameter-processor-values
hbwetl_rz_cd,1.332,0.0,parameter-processor-values
hbwetl_max_net_infil_a,2.5,0.0,parameter-processor-values
hbwetl_max_net_infil_b,0.375,0.0,parameter-processor-values
hbwetl_max_net_infil_c,0.15,0.0,parameter-processor-values
hbwetl_max_net_infil_d,0.075,0.0,parameter-processor-values
hbwetl_max_net_infil_ad,0.075,0.0,parameter-processor-values
hbwetl_max_net_infil_bd,0.075,0.0,parameter-processor-values
hbwetl_max_net_infil_cd,0.075,0.0,parameter-processor-values
totsw_25_05290000_fall-2000,0.05,17777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2001,0.06,12345.679012345681,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2008,0.31,462.4812117007746,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2009,1.17,32.467268934505405,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2010,0.37,324.6489732976219,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2011,0.24,771.6049382716051,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2012,0.02,111111.11111111111,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2013,0.35,362.81179138322,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2014,0.05,17777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2015,0.02,111111.11111111111,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2016,0.04,27777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2017,0.04,27777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2018,0.07,9070.294784580497,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2019,2.94,5.141890467449262,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2020,0.05,17777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2021,0.35,362.81179138322,TOTSW_seasonal__so-west
totsw_25_05290000_fall-2022,0.02,111111.11111111111,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2000,0.58,132.11784912141633,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2001,3.62,3.3915665306648486,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2002,0.62,115.62030292519366,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2009,3.03,4.840968145219364,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2010,5.37,1.5412351689829507,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2011,4.96,1.8065672332061509,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2012,1.08,38.103947568968145,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2013,1.6,17.36111111111111,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2014,1.31,25.898516662458157,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2015,0.35,362.81179138322,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2016,0.19,1231.148045552478,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2017,0.37,324.6489732976219,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2018,1.29,26.70779667354392,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2019,5.58,1.4274111472246132,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2020,2.59,6.625489250971878,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2021,0.24,771.6049382716051,TOTSW_seasonal__so-west
totsw_25_05290000_spr-2022,3.57,3.4872336734257976,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2000,0.34,384.4675124951941,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2001,0.29,528.4713964856653,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2002,0.11,3673.0945821854907,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2009,0.24,771.6049382716051,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2010,0.37,324.6489732976219,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2011,3.96,2.8341779183530025,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2012,0.08,6944.444444444444,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2013,1.17,32.467268934505405,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2014,1.56,18.26283877565929,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2015,0.28,566.8934240362811,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2016,0.08,6944.444444444444,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2017,0.05,17777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2018,0.52,164.3655489809336,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2019,1.28,27.12673611111111,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2020,0.31,462.4812117007746,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2021,0.05,17777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_sum-2022,0.42,251.95263290501384,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2001,0.05,17777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2002,0.11,3673.0945821854907,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2009,0.12,3086.4197530864203,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2010,0.26,657.4621959237344,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2011,0.12,3086.4197530864203,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2012,0.08,6944.444444444444,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2013,0.01,444444.44444444444,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2014,0.07,9070.294784580497,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2015,0.04,27777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2016,0.04,27777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2017,0.15,1975.3086419753088,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2018,0.01,444444.44444444444,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2019,0.04,27777.777777777777,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2020,0.47,201.19712288114283,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2021,0.08,6944.444444444444,TOTSW_seasonal__so-west
totsw_25_05290000_wint-2022,0.16,1736.111111111111,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2000,0.08,6944.444444444444,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2001,0.13,2629.8487836949375,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2002,0.08,6944.444444444444,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2003,0.04,27777.777777777777,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2004,0.19,1231.148045552478,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2005,0.08,6944.444444444444,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2006,0.1,4444.444444444444,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2007,0.35,362.81179138322,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2008,0.29,528.4713964856653,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2009,1.58,17.80341469493849,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2010,0.34,384.4675124951941,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2011,0.3,493.8271604938272,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2012,0.08,6944.444444444444,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2013,0.37,324.6489732976219,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2014,0.24,771.6049382716051,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2015,0.12,3086.4197530864203,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2016,0.48,192.90123456790127,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2017,1.8,13.717421124828531,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2018,0.23,840.1596303297625,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2019,1.95,11.688216816421946,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2020,0.17,1537.8700499807765,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2021,0.98,46.27701420704337,TOTSW_seasonal__so-west
totsw_26_05291000_fall-2022,0.15,1975.3086419753088,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2000,0.22,918.2736455463727,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2001,4.46,2.2343323033061417,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2002,0.84,62.98815822625346,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2003,0.4,277.77777777777777,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2004,0.17,1537.8700499807765,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2005,0.3,493.8271604938272,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2006,1.41,22.355235875682535,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2007,3.68,3.281873555975635,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2008,1.91,12.182901906319579,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2009,2.27,8.625132341874371,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2010,5.11,1.70206319845759,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2011,4.93,1.828620749085347,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2012,0.74,81.16224332440548,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2013,1.28,27.12673611111111,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2014,0.92,52.50997689561016,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2015,0.43,240.37017006189532,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2016,0.59,127.67723195761117,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2017,0.93,51.386801300086056,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2018,2.82,5.588808968920634,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2019,6.59,1.023402922173534,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2020,2.47,7.284899677825311,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2021,0.49,185.1080568281735,TOTSW_seasonal__so-west
totsw_26_05291000_spr-2022,3.06,4.746512499940669,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2000,0.07,9070.294784580497,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2001,1.13,34.8065192610576,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2002,0.26,657.4621959237344,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2003,0.15,1975.3086419753088,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2004,0.1,4444.444444444444,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2005,0.97,47.2360978259586,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2006,0.15,1975.3086419753088,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2007,0.68,96.11687812379853,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2008,1.97,11.452097308470831,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2009,0.28,566.8934240362811,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2010,0.49,185.1080568281735,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2011,2.65,6.328863573434597,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2012,0.28,566.8934240362811,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2013,1.24,28.905075731298414,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2014,2.54,6.8889026666942215,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2015,0.4,277.77777777777777,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2016,0.52,164.3655489809336,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2017,1.33,25.125470317397504,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2018,0.54,152.41579027587258,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2019,2.36,7.979826997350698,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2020,0.34,384.4675124951941,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2021,0.13,2629.8487836949375,TOTSW_seasonal__so-west
totsw_26_05291000_sum-2022,1.21,30.35615357178092,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2001,0.06,12345.679012345681,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2002,0.24,771.6049382716051,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2003,0.07,9070.294784580497,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2004,0.03,49382.716049382725,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2005,0.09,5486.9684499314135,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2006,0.13,2629.8487836949375,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2007,0.07,9070.294784580497,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2008,0.13,2629.8487836949375,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2009,0.21,1007.8105316200554,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2010,0.43,240.37017006189532,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2011,0.23,840.1596303297625,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2012,0.17,1537.8700499807765,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2013,0.06,12345.679012345681,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2014,0.14,2267.5736961451244,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2015,0.18,1371.7421124828534,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2016,0.22,918.2736455463727,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2017,0.47,201.19712288114283,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2018,0.32,434.02777777777777,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2019,0.16,1736.111111111111,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2020,0.71,88.16592827701734,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2021,0.12,3086.4197530864203,TOTSW_seasonal__so-west
totsw_26_05291000_wint-2022,0.42,251.95263290501384,TOTSW_seasonal__so-west
totsw_27_06480650_fall-2016,1.34,24.751862577658965,TOTSW_seasonal__so-west
totsw_27_06480650_fall-2017,1.47,20.567561869797046,TOTSW_seasonal__so-west
totsw_27_06480650_fall-2018,3.71,3.2290120272625487,TOTSW_seasonal__so-west
totsw_27_06480650_fall-2019,6.39,1.0884682503335477,TOTSW_seasonal__so-west
totsw_27_06480650_fall-2020,0.39,292.20542041054864,TOTSW_seasonal__so-west
totsw_27_06480650_fall-2021,0.61,119.44220490310252,TOTSW_seasonal__so-west
totsw_27_06480650_fall-2022,0.05,17777.777777777777,TOTSW_seasonal__so-west
totsw_27_06480650_spr-2016,2.53,6.943468019254238,TOTSW_seasonal__so-west
totsw_27_06480650_spr-2017,2.06,10.473287879263937,TOTSW_seasonal__so-west
totsw_27_06480650_spr-2018,5.58,1.4274111472246132,TOTSW_seasonal__so-west
totsw_27_06480650_spr-2019,11.56,0.33258435336954517,TOTSW_seasonal__so-west
totsw_27_06480650_spr-2020,3.35,3.960298012425436,TOTSW_seasonal__so-west
totsw_27_06480650_spr-2021,1.34,24.751862577658965,TOTSW_seasonal__so-west
totsw_27_06480650_spr-2022,1.89,12.442105328642661,TOTSW_seasonal__so-west
totsw_27_06480650_sum-2016,0.85,61.51480199923107,TOTSW_seasonal__so-west
